Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
104,Thursday Aug 2,boxscore,NYM,,PHI,L,4,9,,26-78,10,44,Mahaffey,Anderson,,2:58,D,6042,----
105,Friday Aug 3,boxscore,NYM,,CIN,L,6,8,,26-79,10,45,Jay,Hook,Henry,3:17,D,8811,-----
106,Saturday Aug 4 (1),boxscore,NYM,,CIN,W,9,1,,27-79,10,44.5,Craig,Klippstein,,2:46,D,,+
107,Saturday Aug 4 (2),boxscore,NYM,,CIN,W &V,3,2,14,28-79,10,44.5,Miller,Drabowsky,,4:20,N,12562,++
108,Sunday Aug 5 (1),boxscore,NYM,,CIN,W,5,2,,29-79,10,44.5,Jackson,O'Toole,,2:21,D,,+++
109,Sunday Aug 5 (2),boxscore,NYM,,CIN,L,3,6,,29-80,10,44.5,Maloney,Moorhead,Brosnan,3:08,D,15402,-
110,Monday Aug 6,boxscore,NYM,@,LAD,L,1,2,,29-81,10,45.5,Podres,Hook,Perranoski,2:18,N,20858,--
111,Tuesday Aug 7,boxscore,NYM,@,LAD,L,5,7,,29-82,10,46.5,Drysdale,Anderson,,2:58,N,26970,---
112,Wednesday Aug 8,boxscore,NYM,@,SFG,W,5,2,,30-82,10,46.5,Craig,Bolin,,2:44,N,11411,+
113,Thursday Aug 9,boxscore,NYM,@,SFG,L,1,7,,30-83,10,47.5,Sanford,Miller,,2:37,D,9988,-
114,Friday Aug 10,boxscore,NYM,@,CIN,L,4,8,,30-84,10,47.5,Maloney,Jackson,,2:38,N,14879,--
115,Saturday Aug 11,boxscore,NYM,@,CIN,L-wo,1,2,,30-85,10,47.5,Purkey,Hook,,2:32,N,14903,---
116,Sunday Aug 12,boxscore,NYM,@,CIN,L,4,8,,30-86,10,47.5,Jay,Craig,,2:23,D,11319,----
117,Tuesday Aug 14,boxscore,NYM,,PHI,L,1,3,15,30-87,10,47.5,Baldschun,Jackson,,4:35,D,5351,-----
118,Wednesday Aug 15 (1),boxscore,NYM,,PHI,L,3,9,,30-88,10,48,Bennett,Miller,McLish,3:07,D,,------
119,Wednesday Aug 15 (2),boxscore,NYM,,PHI,L,7,8,13,30-89,10,48,Short,Moorhead,,4:41,N,9573,-------
120,Saturday Aug 18 (1),boxscore,NYM,,STL,L,4,7,,30-90,10,49.5,Broglio,Craig,,2:51,D,9715,--------
121,Saturday Aug 18 (2),boxscore,NYM,,STL,L,0,10,,30-91,10,49.5,Gibson,MacKenzie,,2:53,N,14309,---------
122,Sunday Aug 19,boxscore,NYM,,STL,L,5,10,,30-92,10,50.5,McDaniel,Jackson,Shantz,3:12,D,10182,----------
123,Monday Aug 20 (1),boxscore,NYM,,PIT,L,0,2,,30-93,10,51,Friend,Hook,,2:15,D,,-----------
124,Monday Aug 20 (2),boxscore,NYM,,PIT,L,3,6,,30-94,10,51,McBean,Miller,Face,2:31,N,8214,------------
125,Tuesday Aug 21 (1),boxscore,NYM,,PIT,L,6,8,,30-95,10,51,Olivo,Craig,Face,3:35,D,,-------------
126,Tuesday Aug 21 (2),boxscore,NYM,,PIT,W-wo,5,4,,31-95,10,51,Miller,Face,,2:37,D,4184,+
127,Wednesday Aug 22,boxscore,NYM,,SFG,W,5,4,,32-95,10,50,MacKenzie,Larsen,Craig,2:51,N,33569,++
128,Thursday Aug 23,boxscore,NYM,,SFG,L,1,2,10,32-96,10,51,Marichal,Jackson,,3:04,D,18815,-
129,Friday Aug 24,boxscore,NYM,,LAD,W,6,3,,33-96,10,50,Hook,Drysdale,,3:11,N,39741,+
130,Saturday Aug 25,boxscore,NYM,,LAD,L,2,8,,33-97,10,51,Perranoski,Craig,,3:13,D,21065,-
131,Sunday Aug 26,boxscore,NYM,,LAD,L,5,16,,33-98,10,52,Richert,Anderson,Ortega,3:22,D,26818,--
132,Tuesday Aug 28 (1),boxscore,NYM,@,PHI,W,2,0,,34-98,10,52.5,Jackson,Short,,2:25,N,,+
133,Tuesday Aug 28 (2),boxscore,NYM,@,PHI,L,1,10,,34-99,10,52.5,Bennett,Miller,,2:55,N,6572,-
134,Wednesday Aug 29,boxscore,NYM,@,PHI,L-wo,2,3,10,34-100,10,53.5,McLish,Hook,,2:46,N,4822,--
135,Thursday Aug 30,boxscore,NYM,@,PHI,L,7,8,,34-101,10,53.5,Baldschun,Miller,,3:10,N,5722,---
136,Friday Aug 31,boxscore,NYM,@,STL,L,2,4,,34-102,10,54.5,Jackson,Anderson,Shantz,3:06,N,11347,----
137,Saturday Sep 1,boxscore,NYM,@,STL,L,5,10,,34-103,10,55.5,Washburn,Daviault,McDaniel,3:12,N,7961,-----
138,Sunday Sep 2,boxscore,NYM,@,STL,W &H,4,3,,35-103,10,55.5,Jackson,Shantz,,2:44,D,9169,+
139,Monday Sep 3 (1),boxscore,NYM,@,PIT,L,0,2,,35-104,10,56,Friend,Hook,,2:21,D,,-
140,Monday Sep 3 (2),boxscore,NYM,@,PIT,L,4,5,,35-105,10,56,McBean,Craig,Face,2:47,D,14289,--
141,Tuesday Sep 4,boxscore,NYM,@,PIT,L,1,5,,35-106,10,57,Haddix,Anderson,,2:10,N,4364,---
142,Friday Sep 7,boxscore,NYM,@,HOU,L,2,4,,35-107,10,56,Golden,Jackson,McMahon,2:28,N,6208,----
143,Saturday Sep 8 (1),boxscore,NYM,@,HOU,L-wo,3,4,,35-108,10,57.5,Kemmerer,Anderson,,2:50,D,1638,-----
144,Saturday Sep 8 (2),boxscore,NYM,@,HOU,L-wo,5,6,10,35-109,10,57.5,Umbricht,Craig,,3:20,N,6568,------
145,Sunday Sep 9,boxscore,NYM,@,HOU,T,7,7,8,35-109,10,58,,,,3:07,D,3630,------
146,Monday Sep 10,boxscore,NYM,,MLN,L,2,5,,35-110,10,59,Cloninger,Miller,,2:44,N,5381,-------
147,Friday Sep 14,boxscore,NYM,,CIN,W-wo,10,9,,36-110,10,60,Craig,Klippstein,,3:35,N,7791,+
148,Saturday Sep 15,boxscore,NYM,,CIN,L,6,9,,36-111,10,61,Purkey,Hook,Maloney,3:01,D,8157,-
149,Sunday Sep 16,boxscore,NYM,,CIN,W,8,2,,37-111,10,60,Craig,Jay,,2:20,D,10884,+
150,Tuesday Sep 18 (1),boxscore,NYM,,HOU,L,2,6,,37-112,10,60,Johnson,Jackson,,2:18,N,,-
151,Tuesday Sep 18 (2),boxscore,NYM,,HOU,L,6,8,,37-113,10,60,Drott,Foss,Umbricht,3:10,N,3670,--
152,Thursday Sep 20 (1),boxscore,NYM,,HOU,L,2,7,,37-114,10,61.5,Golden,Hook,Kemmerer,2:30,D,,---
153,Thursday Sep 20 (2),boxscore,NYM,,HOU,L,4,5,12,37-115,10,61.5,Kemmerer,Daviault,,3:29,D,1481,----
154,Friday Sep 21,boxscore,NYM,,CHC,W,4,1,,38-115,10,60.5,Cisco,Ellsworth,,2:53,N,3582,+
155,Saturday Sep 22,boxscore,NYM,,CHC,L,2,9,,38-116,10,61.5,Toth,Jackson,,2:42,D,3744,-
156,Sunday Sep 23,boxscore,NYM,,CHC,W-wo,2,1,,39-116,10,60.5,Craig,Brewer,,3:04,D,10304,+
157,Tuesday Sep 25,boxscore,NYM,@,MLN,L,3,7,,39-117,10,60.5,Spahn,Hook,,2:24,N,3637,-
158,Wednesday Sep 26,boxscore,NYM,@,MLN,L,3,6,,39-118,10,61.5,Lemaster,Craig,,2:24,N,3239,--
159,Friday Sep 28,boxscore,NYM,@,CHC,L,2,3,,39-119,10,61,Toth,Cisco,Schultz,2:28,D,595,---
160,Saturday Sep 29,boxscore,NYM,@,CHC,W,2,1,,40-119,10,60,Miller,Ellsworth,,2:10,D,2870,+
161,Sunday Sep 30,boxscore,NYM,@,CHC,L,1,5,,40-120,10,60,Buhl,Hunter,,2:16,D,3960,-
